encode=UTF-8
name=T9筆劃
key=uiojkp
len=5
auto_clear=0
normal=normal_big5.txt
user=cj_user.txt
assist=` mb/mb/phonetic_pin.txt
uiojokik 橡
uiojokik 枸
uiojokik 栺
uiojokik 櫯
uiojokik 欃
uiojokik 櫓
uiojokik 栒
jjuikiiuuojoojjo 瀱
ojuuijouijojkikuu 鏜
ojuuijouijojkikuu 鏿
juikikuuikuu 顫
juikikuuikuu 氈
juikikuuikuu 亶
juikikuuikuu 勯
juikikuuikuu 皽
juikikuuikuu 鸇
juikikuuikuu 邅
uiijjuoiju 蒞
okuukkojku 膷
joojokku 炮
ikuuiuiuukjjj 嘕
ikuouiui 唾
ikuouiui 哠
ouiojojijuojju 黐
iuiuoku 些
iuiuoku 柴
iuiuoku 砦
iuiuoku 祡
ookjujiukoukikuiuik 艫
uiioiukuu 萸
uiioiukuu 蕮
uiiikuuukjoo 藈
uuiujjkojoj 瑢
uokjjujouiku 殕
uiojuouu 桭
uiiokjojjkuukoj 蕵
uokjojuikuikuojoj 殮
kuoooiiuiuiu 屣
uikuuuiikuiuiku 轠
oiuioju 体
oiuioju 儊
oiuioju 僸
oiuuikuikukuuu 興
uiojuouikuk 椷
uuojikuuuokuioj 槼
uiiouuiki 蒛
ikuikuuojjikuiku 器
ouiuokkiookki 犓
uuiuuiioki 璥
juikikuuiku 顫
juikikuuiku 氈
juikikuuiku 亶
juikikuuiku 勯
juikikuuiku 皽
juikikuuiku 鸇
juikikuuiku 邅
jjuuuu 潔
jjuuuu 湊
jjuuuu 洭
jjuuuu 溱
jjuuuu 湷
jjuuuu 溙
jjuuuu 湱
oijujo 位
oijujo 億
oijujo 倍
oijujo 傍
oijujo 儱
oijujo 傽
oijujo 僮
oijujo 儭
oijujo 儕
oijujo 偣
uiiukjui 荎
uiiukjui 菿
ooiojojiuojuiiuuu 聳
jjiouiojj 愀
jjiiukoukuo 懅
uoijko 孬
uiuikuiujkj 揌
uikuuuikuuuoiju 匷
juuuikuoiukuuuiuokk 譭
ikuuuojikuuu 嬰
ikuuuojikuuu 罌
ikuuuojikuuu 鸚
ikuuuojikuuu 贔
ikuuuojikuuu 賏
ikuuuojikuuu 譻
ikuuuojikuuu 甖
ukikuoikuu 頓
joojikuuikuuuikjouioj 爛
juuuikuojojuiuuuiuu 讖
uiukjukj 摺
uiukjukj 擢
uiukjukj 摎
kkjjjjuoikiiuuu 緬
okuuikuui 胛
okuuikuui 胂
okuuikuui 腢
okuuikuui 膢
okuuouikjouiuujjjj 臐
uiojjjkjoik 鶐
koujujouiku 嫜
koujujouiku 婄
koujujouiku 嬂
ikjouiuujjjjokjokj 黟
jjkojojouiojiuikoj 竊
uiojojj 槍
uiojojj 榽
uiojojj 柃
uiojojj 棌
uiojojj 梒
uiojojj 榣
uiojojj 檎
uiojojj 楥
uiojojj 槄
uiojojj 桴
uiojojj 桵
uiojojj 棯
uiojojj 枔
oujoujuikiiuuioj 篥
uuiukuuoi 珺
ikuiuiujj 跎
ikuiuiujj 躥
ikuiuiujj 踠
ikuiuiujj 蹜
uiuuoiiukjk 墆
uiojjkoijuuui 榷
ojuuijouukok 鐕
ojuuijouukok 鍇
ojuuijouukok 鈚
ikiooiku 嵂
okuuuojjoi 膫
ikuiujjuikujk 蠔
ikuiujjuikujk 蝏
uikiiuiku 賈
uikiiuiku 覃
uikiiuiku 鷣
uiuuiiuikuiuo 撗
kkjjjjikjouj 網
ookjujoijuuuiuoijuu 艭
jjujuikuio 涼
oiukjkuouikuuij 牖
uiojoiuij 柎
ikijoojjoojjkui 嶸
uiiuiuuiuu 蕘
uiiuiuuiuu 葑
okokuuiokikoj 觼
ikuiujuiikuoku 蝴
oiouiukj 侹
ikuiuiuojjo 蹈
ikuiuiuojjo 踩
ikuiuiuojjo 蹊
jkiojjuouii 褯
jjioouiooui 懫
iuuokk 邶
jjuuiikuok 湖
ikuuuokukiku 睧
kiojuikuikuojo 險
ikjouiuujjjjuojik 黤
jouuuoukk 羥
ojuuijououiuoko 鑽
ikjouiuujjjji 點
ojjo 愛
ojjo 受
ojjo 爭
ojjo 彩
ojjo 亂
ojjo 雞
ojjo 貌
ojjo 貓
ojjo 辭
ojjo 采
ojjo 乳
ojjo 妥
ojjo 爵
ojjo 覓
ojjo 懇
ojjo 墾
ojjo 豹
ojjo 舜
ojjo 鶢
